Student ID,Student Name,Gender,Age,Department,Year,Semester,Subject,Internal Marks,Assignment Marks,Practical Marks,Theory Marks,Total Marks,Grade,GPA,Attendance Percentage,Pass/Fail Status
S0001,Student 0001,Female,18,Information Technology,1,5,Data Structures,21,7,9,41,78,A,7.3,89,Pass
S0002,Student 0002,Female,19,Information Technology,1,4,Data Structures,26,10,8,37,81,A+,8.36,67,Fail
S0003,Student 0003,Female,18,Mechanical,3,1,Data Structures,29,9,13,28,79,A,7.56,64,Fail
S0004,Student 0004,Male,21,Information Technology,4,2,DBMS,23,10,12,45,90,O,9.28,57,Fail
S0005,Student 0005,Male,24,Information Technology,3,6,Machine Learning,21,6,8,41,76,A,7.93,69,Fail
S0006,Student 0006,Female,23,Computer Science,1,7,DBMS,25,8,10,31,74,A,7.05,77,Pass
S0007,Student 0007,Male,23,Information Technology,2,4,Data Structures,25,9,12,49,95,O,9.73,95,Pass
S0008,Student 0008,Female,19,Electronics,1,4,Python,30,8,14,28,80,A+,7.65,59,Fail
S0009,Student 0009,Female,22,Mechanical,4,8,Data Structures,22,7,11,43,83,A+,8.35,90,Pass
S0010,Student 0010,Male,23,Mechanical,3,4,Data Structures,26,9,9,44,88,A+,9.23,58,Fail
S0011,Student 0011,Male,23,Computer Science,4,2,Cloud Computing,24,10,15,36,85,A+,9.07,71,Fail
S0012,Student 0012,Female,22,Information Technology,3,6,Python,22,9,10,34,75,A,8.04,55,Fail
S0013,Student 0013,Male,22,Computer Science,1,5,Mathematics,26,10,11,24,71,A,7.42,78,Pass
S0014,Student 0014,Male,18,Electronics,4,1,Python,23,8,11,21,63,B+,6.75,70,Fail
S0015,Student 0015,Female,19,Mechanical,1,3,Data Structures,28,9,10,28,75,A,7.95,88,Pass
S0016,Student 0016,Male,19,Civil,2,5,Cloud Computing,28,8,15,48,99,O,9.84,88,Pass
S0017,Student 0017,Male,19,Information Technology,3,1,Machine Learning,26,7,11,20,64,B+,6.65,59,Fail
S0018,Student 0018,Male,23,Information Technology,1,6,Python,26,7,12,41,86,A+,8.26,86,Pass
S0019,Student 0019,Female,21,Civil,4,4,Cloud Computing,30,9,11,23,73,A,7.49,61,Fail
S0020,Student 0020,Male,19,Mechanical,4,1,Mathematics,28,6,8,32,74,A,7.76,76,Pass
S0021,Student 0021,Male,21,Computer Science,2,8,Data Structures,24,7,12,34,77,A,8.15,70,Fail
S0022,Student 0022,Female,21,Civil,1,1,Mathematics,26,6,9,49,90,O,8.6,70,Fail
S0023,Student 0023,Female,19,Computer Science,4,1,Data Structures,24,6,14,28,72,A,6.94,84,Pass
S0024,Student 0024,Female,22,Computer Science,3,4,Python,27,10,8,43,88,A+,8.27,75,Pass
S0025,Student 0025,Male,21,Civil,2,1,Machine Learning,19,7,9,39,74,A,7.61,59,Fail
S0026,Student 0026,Female,19,Information Technology,2,1,Machine Learning,19,9,13,49,90,O,8.65,71,Fail
S0027,Student 0027,Male,18,Electronics,4,3,Mathematics,28,8,15,30,81,A+,7.51,59,Fail
S0028,Student 0028,Female,22,Civil,2,5,Data Structures,23,6,11,31,71,A,6.69,73,Fail
S0029,Student 0029,Male,20,Civil,1,5,Mathematics,19,7,12,23,61,B+,6.39,61,Fail
S0030,Student 0030,Female,24,Electronics,2,6,Data Structures,28,8,15,28,79,A,7.41,58,Fail
S0031,Student 0031,Female,22,Electronics,1,1,DBMS,30,7,12,25,74,A,7.46,83,Pass
S0032,Student 0032,Male,21,Information Technology,1,2,Mathematics,20,10,8,46,84,A+,8.5,78,Pass
S0033,Student 0033,Male,20,Computer Science,1,5,DBMS,30,6,13,26,75,A,7.2,98,Pass
S0034,Student 0034,Female,24,Civil,4,3,Data Structures,20,7,14,20,61,B+,6.38,66,Fail
S0035,Student 0035,Male,19,Mechanical,2,5,Data Structures,30,6,14,47,97,O,10,57,Fail
S0036,Student 0036,Male,24,Mechanical,3,5,Data Structures,21,6,11,32,70,A,6.73,76,Pass
S0037,Student 0037,Female,18,Electronics,3,7,Mathematics,26,8,8,23,65,B+,6.11,71,Fail
S0038,Student 0038,Male,20,Information Technology,4,6,Mathematics,30,8,14,39,91,O,8.64,87,Pass
S0039,Student 0039,Female,22,Information Technology,4,1,Machine Learning,30,10,11,31,82,A+,7.68,82,Pass
S0040,Student 0040,Male,19,Electronics,1,5,Machine Learning,22,9,13,32,76,A,7.35,99,Pass
S0041,Student 0041,Male,21,Mechanical,4,3,Machine Learning,27,8,14,37,86,A+,8.36,55,Fail
S0042,Student 0042,Female,22,Civil,3,8,Cloud Computing,25,7,15,45,92,O,9.39,65,Fail
S0043,Student 0043,Male,19,Civil,3,2,Data Structures,28,8,11,45,92,O,8.78,67,Fail
S0044,Student 0044,Female,19,Mechanical,1,8,Cloud Computing,28,10,11,42,91,O,8.96,99,Pass
S0045,Student 0045,Male,21,Computer Science,1,2,Cloud Computing,21,7,15,21,64,B+,6.1,90,Pass
S0046,Student 0046,Male,23,Computer Science,4,6,Cloud Computing,27,10,14,46,97,O,9.64,90,Pass
S0047,Student 0047,Male,23,Mechanical,4,5,Data Structures,28,8,15,40,91,O,8.83,70,Fail
S0048,Student 0048,Male,23,Electronics,2,5,DBMS,23,10,9,24,66,B+,6.28,64,Fail
S0049,Student 0049,Female,21,Computer Science,1,7,Cloud Computing,23,10,15,33,81,A+,7.75,58,Fail
S0050,Student 0050,Female,22,Civil,1,7,Cloud Computing,18,8,12,44,82,A+,8.62,79,Pass
S0051,Student 0051,Female,23,Civil,2,8,Data Structures,22,9,15,20,66,B+,6.4,79,Pass
S0052,Student 0052,Male,23,Computer Science,4,3,Machine Learning,26,6,14,38,84,A+,8.6,91,Pass
S0053,Student 0053,Female,24,Mechanical,2,8,Data Structures,18,8,14,30,70,A,6.95,68,Fail
S0054,Student 0054,Female,19,Mechanical,3,7,DBMS,19,9,8,43,79,A,7.36,89,Pass
S0055,Student 0055,Male,22,Information Technology,1,1,Data Structures,21,6,10,27,64,B+,6.37,63,Fail
S0056,Student 0056,Male,22,Computer Science,4,5,DBMS,20,10,9,44,83,A+,8.86,65,Fail
S0057,Student 0057,Male,18,Information Technology,3,7,Cloud Computing,29,7,9,38,83,A+,8.7,99,Pass
S0058,Student 0058,Male,24,Electronics,1,1,DBMS,26,9,13,22,70,A,7.18,87,Pass
S0059,Student 0059,Female,22,Mechanical,4,2,Cloud Computing,23,9,10,33,75,A,7.78,66,Fail
S0060,Student 0060,Male,20,Civil,4,8,Cloud Computing,29,10,12,30,81,A+,8.5,70,Fail
S0061,Student 0061,Male,21,Mechanical,2,8,Machine Learning,27,9,13,20,69,B+,7.32,86,Pass
S0062,Student 0062,Male,18,Computer Science,3,5,DBMS,22,10,12,37,81,A+,8.12,55,Fail
S0063,Student 0063,Male,18,Computer Science,4,8,Machine Learning,30,7,15,40,92,O,9.19,100,Pass
S0064,Student 0064,Female,23,Electronics,2,7,Mathematics,21,8,13,35,77,A,7.74,90,Pass
S0065,Student 0065,Male,20,Civil,3,6,Mathematics,25,8,12,28,73,A,6.84,69,Fail
S0066,Student 0066,Female,18,Information Technology,2,4,Data Structures,29,9,12,43,93,O,9.87,92,Pass
S0067,Student 0067,Male,18,Computer Science,3,4,DBMS,20,8,8,42,78,A,7.35,89,Pass
S0068,Student 0068,Female,21,Civil,3,3,Mathematics,30,9,9,47,95,O,9.59,55,Fail
S0069,Student 0069,Male,22,Mechanical,3,3,Python,22,9,9,46,86,A+,8.48,59,Fail
S0070,Student 0070,Male,24,Information Technology,2,3,Machine Learning,22,6,11,23,62,B+,6.52,90,Pass
S0071,Student 0071,Male,24,Civil,4,8,Cloud Computing,22,10,14,29,75,A,7.65,91,Pass
S0072,Student 0072,Male,21,Computer Science,2,5,Mathematics,19,7,11,25,62,B+,5.69,90,Pass
S0073,Student 0073,Male,20,Mechanical,4,5,Python,21,8,12,42,83,A+,7.79,84,Pass
S0074,Student 0074,Male,18,Civil,2,7,Python,26,7,10,49,92,O,9.59,72,Fail
S0075,Student 0075,Female,21,Computer Science,3,5,Cloud Computing,19,9,12,42,82,A+,8.73,80,Pass
S0076,Student 0076,Male,24,Information Technology,1,7,Mathematics,23,10,12,20,65,B+,6.17,60,Fail
S0077,Student 0077,Female,18,Electronics,1,3,Cloud Computing,26,9,12,25,72,A,7.12,92,Pass
S0078,Student 0078,Female,23,Mechanical,3,7,DBMS,23,6,10,30,69,B+,7.13,81,Pass
S0079,Student 0079,Male,23,Mechanical,1,8,Python,23,8,13,23,67,B+,7.14,80,Pass
S0080,Student 0080,Male,19,Civil,4,7,Python,21,10,13,39,83,A+,8.45,86,Pass
S0081,Student 0081,Male,23,Electronics,2,5,Cloud Computing,29,9,9,20,67,B+,6.83,95,Pass
S0082,Student 0082,Male,23,Computer Science,3,1,Machine Learning,24,6,11,46,87,A+,8.65,62,Fail
S0083,Student 0083,Male,21,Computer Science,4,5,Machine Learning,29,8,14,46,97,O,10,85,Pass
S0084,Student 0084,Female,20,Civil,2,7,Data Structures,27,10,10,47,94,O,9.13,59,Fail
S0085,Student 0085,Female,20,Civil,3,1,DBMS,29,8,15,47,99,O,9.84,64,Fail
S0086,Student 0086,Female,23,Electronics,4,8,DBMS,21,7,14,27,69,B+,6.35,81,Pass
S0087,Student 0087,Female,18,Mechanical,4,3,Cloud Computing,18,7,13,47,85,A+,8.95,61,Fail
S0088,Student 0088,Female,20,Civil,4,1,Mathematics,20,9,10,22,61,B+,6.44,85,Pass
S0089,Student 0089,Female,24,Civil,4,2,DBMS,28,10,14,50,100,O,10,75,Pass
S0090,Student 0090,Male,24,Civil,1,2,Data Structures,28,8,11,43,90,O,8.92,60,Fail
S0091,Student 0091,Female,21,Information Technology,4,3,Mathematics,22,6,8,30,66,B+,6.35,58,Fail
S0092,Student 0092,Female,22,Computer Science,2,7,Machine Learning,28,7,10,25,70,A,7.13,60,Fail
S0093,Student 0093,Female,20,Computer Science,4,3,Data Structures,25,8,15,28,76,A,7.01,97,Pass
S0094,Student 0094,Female,24,Civil,2,2,Cloud Computing,23,10,12,40,85,A+,8.73,82,Pass
S0095,Student 0095,Female,18,Electronics,2,7,Cloud Computing,19,7,14,38,78,A,7.89,77,Pass
